cas_no	generic_name	pediatric_excl_date	sponser	pediatric_indication	Notes	url	unii_no	indication	pharm_class	pharm_desc	hazard_statements
93221-48-8	Levobetaxolol	6/28/06	Alcon	Elevated intraocular pressure		https://pubchem.ncbi.nlm.nih.gov/compound/60657	75O9XHA4TU	Used in the treatment of open-angle glaucoma and ocular hypertension.			
130018-77-8	Levocetirizine	8/25/09	UCB	Allergic rhinitis and urticaria in children 6 months to < 6 years of age		https://pubchem.ncbi.nlm.nih.gov/compound/1549000	6U5EA9RT2O	Levocetirizine is indicated to treat symptoms of perennial allergic rhinitis and uncomplicated skin manifestations of chronic idiopathic urticaria. It is also used over the counter for a variety of mild allergy symptoms.	Histamine H1 Antagonists, Non-Sedating	A class of non-sedating drugs that bind to but do not activate histamine receptors (DRUG INVERSE AGONISM), thereby blocking the actions of histamine or histamine agonists. These antihistamines represent a heterogenous group of compounds with differing chemical structures, adverse effects, distribution, and metabolism. Compared to the early (first generation) antihistamines, these non-sedating antihistamines have greater receptor specificity, lower penetration of BLOOD-BRAIN BARRIER, and are less likely to cause drowsiness or psychomotor impairment. (See all compounds classified as Histamine H1 Antagonists, Non-Sedating.)	
100986-85-4	Levofloxacin	3/14/07	Ortho McNeil	Community acquired pneumonia		https://pubchem.ncbi.nlm.nih.gov/compound/149096	6GNT3Y5LMF	In oral and intravenous formulations, levofloxacin is indicated in adults for the treatment of various infections caused by susceptible bacteria, including infections of the upper respiratory tract, lower respiratory tract, skin, skin structures, urinary tract, and prostate. The oral formulation is also indicated in both adults and children 6 months of age and older for the post-exposure management of inhalational anthrax caused by _Bacillus anthracis_ and for the treatment and/or prophylaxis of plague caused by _Yersinia pestis_.  In its ophthalmic formulation, levofloxacin is indicated for the treatment of bacterial conjunctivitis caused by susceptible organisms. An inhalational solution available in Canada is indicated for the management of cystic fibrosis patients aged 18 years or older with chronic pulmonary _Pseudomonas aeruginosa_ infections.	Topoisomerase II Inhibitors	Compounds that inhibit the activity of DNA TOPOISOMERASE II. Included in this category are a variety of ANTINEOPLASTIC AGENTS which target the eukaryotic form of topoisomerase II and ANTIBACTERIAL AGENTS which target the prokaryotic form of topoisomerase II. (See all compounds classified as Topoisomerase II Inhibitors.)	H302 (97.52%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (94.21%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H334 (95.87%): May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization, respiratory]; H361 (35.54%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (33.88%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]
668270-12-0	linagliptin 	6/9/23	Boehringer Ingelheim Pharmaceuticals INC	an adjunct to diet and exercise and to improve glycemic control in adults with type 2 diabetes mellitus (T2D). 		https://pubchem.ncbi.nlm.nih.gov/compound/10096344	3X29ZEJ4R2	Linagliptin is indicated for the treatment of type II diabetes in addition to diet and exercise. It should not be used to treat type I diabetes or in diabetic ketoacidosis. An extended-release combination product containing empagliflozin, linagliptin, and metformin was approved by the FDA in January 2020 for the improvement of glycemic control in adults with type 2 diabetes mellitus when used adjunctively with diet and exercise.	Dipeptidyl-Peptidase IV Inhibitors	Compounds that suppress the degradation of INCRETINS by blocking the action of DIPEPTIDYL-PEPTIDASE IV. This helps to correct the defective INSULIN and GLUCAGON secretion characteristic of TYPE 2 DIABETES MELLITUS by stimulating insulin secretion and suppressing glucagon release. (See all compounds classified as Dipeptidyl-Peptidase IV Inhibitors.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
	linagliptin and metformin hydrochloride	6/9/23	Boehringer Ingelheim Pharmaceuticals INC	an adjunct to diet and exercise and to improve glycemic control in adults with type 2 diabetes mellitus (T2D). 							
165800-03-3	Linezolid	2/11/05	Pharmacia Upjohn	Skin and skin structure infections; suspected resistant gram positive infections; VRE infections; CSF shunts		https://pubchem.ncbi.nlm.nih.gov/compound/441401	ISQ9I6J12J	Linezolid is indicated in adults and children for the treatment of infections caused by susceptible Gram-positive bacteria, including nosocomial pneumonia, community-acquired pneumonia, skin and skin structure infections, and vancomycin-resistant _Enterococcus faecium_ infections. Examples of susceptible bacteria include _Staphylococcus aureus_, _Streptococcus pneumoniae_, _Streptococcus pyogenes_, and _Streptococcus agalactiae_.  Linezolid is not indicated for the treatment of Gram-negative infections, nor has it been evaluated for use longer than 28 days.	Anti-Bacterial Agents	Substances that inhibit the growth or reproduction of BACTERIA. (See all compounds classified as Anti-Bacterial Agents.)	H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
204656-20-2	Liraglutide	5/1/19	Novo Nordisk	Type 2 diabetes mellitus		https://pubchem.ncbi.nlm.nih.gov/compound/16134956		Saxenda, a formulation of liraglutide intended for weight loss, is indicated as an adjunct to diet and exercise for chronic weight management in adult patients who are obese (BMI≥30 kg/m2), or who are overweight (BMI≥27 kg/m2) and have at least one weight-related comorbidity. It is also indicated for chronic weight management in pediatric patients ≥12 years old who weigh ≥60 kg and have an initial BMI corresponding to obesity based on international cut-offs.  Victoza, a formulation of liraglutide used in diabetes, is indicated as an adjunct to diet and exercise to improve glycemic control in patients ≥10 years old with type 2 diabetes mellitus. It is also indicated to reduce the risk of major adverse cardiovascular events in adult patients with type 2 diabetes and established cardiovascular disease.  Liraglutide is also available in combination with [insulin degludec] as an adjunct to diet and exercise to improve glycemic control in adult patients with type 2 diabetes mellitus.	Glucagon-Like Peptide-1 Receptor Agonists	Compounds that stimulate the activity of GLUCAGON-LIKE PEPTIDE-1 RECEPTOR. Glucagon-like peptide-1 receptor agonists are used to treat TYPE 2 DIABETES and OBESITY. (See all compounds classified as Glucagon-Like Peptide-1 Receptor Agonists.)	H351 (100%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
608137-32-2	Lisdexamfetamine	7/27/21	Takeda	Attention Deficit and Hyperactivity Disorder (ADHD)		https://pubchem.ncbi.nlm.nih.gov/compound/11597698	H645GUL8KJ	Lisdexamfetamine is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in adults and pediatric patients six years and older. It is also indicated to treat moderate to severe binge eating disorder (BED) in adults. It is approved for use in the US and Canada.	Central Nervous System Stimulants	A loosely defined group of drugs that tend to increase behavioral alertness, agitation, or excitation. They work by a variety of mechanisms, but usually not by direct excitation of neurons. The many drugs that have such actions as side effects to their main therapeutic use are not included here. (See all compounds classified as Central Nervous System Stimulants.)	H225: Highly Flammable liquid and vapor [Danger Flammable liquids]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H311: Toxic in contact with skin [Danger Acute toxicity, dermal]; H331: Toxic if inhaled [Danger Acute toxicity, inhalation]; H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]
76547-98-3	Lisinopril	11/19/01	Astra Zeneca	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/5362119	7Q3P4BS2FD	Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ≥6 years, and as an adjunct therapy for heart failure. A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.	Cardiotonic Agents	Agents that have a strengthening effect on the heart or that can increase cardiac output. They may be CARDIAC GLYCOSIDES; SYMPATHOMIMETICS; or other drugs. They are used after MYOCARDIAL INFARCT; CARDIAC SURGICAL PROCEDURES; in SHOCK; or in congestive heart failure (HEART FAILURE). (See all compounds classified as Cardiotonic Agents.)	H315 (40%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (80%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (40%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (40%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H373 (80%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H360 (92.23%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (57.28%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H360 (100%): May damage fertility or the unborn child [Danger Reproductive toxicity]
76547-98-3	Lisinopril	11/19/01	Merck	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/5362119	7Q3P4BS2FD	Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ≥6 years, and as an adjunct therapy for heart failure. A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.	Cardiotonic Agents	Agents that have a strengthening effect on the heart or that can increase cardiac output. They may be CARDIAC GLYCOSIDES; SYMPATHOMIMETICS; or other drugs. They are used after MYOCARDIAL INFARCT; CARDIAC SURGICAL PROCEDURES; in SHOCK; or in congestive heart failure (HEART FAILURE). (See all compounds classified as Cardiotonic Agents.)	H315 (40%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (80%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (40%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (40%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H373 (80%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H360 (92.23%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (57.28%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H360 (100%): May damage fertility or the unborn child [Danger Reproductive toxicity]
	Lopinavir/Ritonavir	3/7/08	Abbott	HIV-1 Infection	This is the first period of Pediatric Exclusivity for lopinavir and a second period for ritonavir.						
79794-75-5	Loratadine	8/14/00	Schering	Allergic rhinitis/urticaria		https://pubchem.ncbi.nlm.nih.gov/compound/3957	7AJO3BO7QN	Loratadine is a 2nd generation antihistamine and is used to manage symptoms of allergic rhinitis, wheal formation, urticaria, and other allergic dermatologic conditions.	Anti-Allergic Agents	Agents that are used to treat allergic reactions. Most of these drugs act by preventing the release of inflammatory mediators or inhibiting the actions of released mediators on their target cells. (From AMA Drug Evaluations Annual, 1994, p475) (See all compounds classified as Anti-Allergic Agents.)	H315 (67.86%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (67.86%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H351 (13.1%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (11.9%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (14.29%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (11.9%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H400 (17.86%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (20.24%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H315 (49.09%): Causes skin irritation [Warning Skin corrosion/irritation]; H317 (48.18%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (50%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (50%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H341 (48.18%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H351 (49.09%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (48.18%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H400 (96.36%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (96.36%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]
114798-26-4	Losartan	3/20/02	Merck	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/3961	JMS50MPO89	Losartan is indicated to treat hypertension in patients older than 6 years, reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage), and to treat diabetic nephropathy with elevated serum creatinine and proteinuria in patients with type 2 diabetes and hypertension. Losartan with hydrochlorothiazide is indicated to treat hypertension and to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage).	Anti-Arrhythmia Agents	Agents used for the treatment or prevention of cardiac arrhythmias. They may affect the polarization-repolarization phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibers. Anti-arrhythmia agents are often classed into four main groups according to their mechanism of action: sodium channel blockade, beta-adrenergic blockade, repolarization prolongation, or calcium channel blockade. (See all compounds classified as Anti-Arrhythmia Agents.)	H315 (48.75%): Causes skin irritation [Warning Skin corrosion/irritation]; H317 (47.5%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (50%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (50%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H360 (47.5%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H362 (46.25%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H413 (47.5%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]; H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H360D (100%): May damage the unborn child [Danger Reproductive toxicity]; H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]
	Loteprednol/ Tobramycin	12/28/10	Bausch & Lomb	Superficial bacterial ocular infection							
75330-75-5	Lovastatin	7/17/01	Merck	Hypercholesterolemia		https://pubchem.ncbi.nlm.nih.gov/compound/53232	9LHU78OQFD	Lovastatin is indicated to reduce the risk of myocardial infarction, unstable angina, and the need for coronary revascularization procedures in individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C, and below average HDL-C. It is indicated as an intervention alternative in individuals presenting dyslipidemia at risk of developing atherosclerotic vascular disease. The administration of this agent should be accompanied by the implementation of a fat and cholesterol-restricted diet.  Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Lovastatin is indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate.  Lovastatin is also indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels.  Lovastatin is indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls with Heterozygous Familial Hypercholesterolemia (HeFH) who are at least one year post-menarche, 10 to 17 years of age, with HeFH if after an adequate trial of diet therapy the following findings are present: LDL-C remains greater than 189 mg/dL or LDL-C remains greater than 160 mg/dL and there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient.  Before administering lovastatin, it is important to rule out the presence of secondary causes of hypercholesterolemia and a lipid profile should be performed.  Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.	Anticholesteremic Agents	Substances used to lower plasma cholesterol levels. (See all compounds classified as Anticholesteremic Agents.)	H302 (26.7%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (17.61%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H351 (19.32%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (72.16%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H372 (19.89%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H312 (100%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H332 (100%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H302: Harmful if swallowed [Warning Acute toxicity, oral]
367514-87-2	Lurasidone	12/20/16	Sunovion	Schizophrenia & irritability associated with autistic disorder		https://pubchem.ncbi.nlm.nih.gov/compound/213046	22IC88528T	Lurasidone is indicated for the treatment of schizophrenia in patients ≥13 years old. It is also indicated as a monotherapy for the treatment of bipolar depression in patients ≥10 years old, or in combination with lithium or valproate for the treatment of bipolar depression in adults.	Dopamine D2 Receptor Antagonists	Compounds and drugs that bind to and inhibit or block the activation of DOPAMINE D2 RECEPTORS. (See all compounds classified as Dopamine D2 Receptor Antagonists.)	H302+H332 (33.33%): Harmful if swallowed or if inhaled [Warning Acute toxicity, oral; acute toxicity, inhalation]; H302 (33.33%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (66.67%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H332 (33.33%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H336 (33.33%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]; H351 (66.67%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (33.33%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H413 (33.33%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]; H225: Highly Flammable liquid and vapor [Danger Flammable liquids]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H311: Toxic in contact with skin [Danger Acute toxicity, dermal]; H331: Toxic if inhaled [Danger Acute toxicity, inhalation]; H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]
437608-50-9	Lutetium Lu 177 dotatate	4/18/24	Advanced Accelerator ApplicationsÊ	Treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs) in adults and pediatric patients 12 years and older		https://pubchem.ncbi.nlm.nih.gov/compound/76966897	AE221IM3BB	Indicated for the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs), including foregut, midgut, and hindgut neuroendocrine tumors in adults.	Radiopharmaceuticals	Compounds that are used in medicine as sources of radiation for radiotherapy and for diagnostic purposes. They have numerous uses in research and industry. (Martindale, The Extra Pharmacopoeia, 30th ed, p1161) (See all compounds classified as Radiopharmaceuticals.)	
2414315-81-2	Maraviroc	7/29/20	ViiV	HIV Infection		https://pubchem.ncbi.nlm.nih.gov/compound/3002977	A3C7SRV8DV		CCR5 Receptor Antagonists	Compounds and drugs that inhibit or block the activity of CCR5 RECEPTORS. (See all compounds classified as CCR5 Receptor Antagonists.)	
71125-38-7	Meloxicam	4/15/05	Boehringer Ingelheim	JRA		https://pubchem.ncbi.nlm.nih.gov/compound/54677470	VG2QF83CGL	Meloxicam is indicated for the symptomatic treatment of arthritis and osteoarthritis.  In addition, it is indicated for the pauciarticular and polyarticular course of Juvenile Rheumatoid Arthritis (JRA) in patients aged 2 years old or above. Off-label uses include the treatment of dental or post-surgical pain. In addition to the above, meloxicam has also been studied in the treatment of neuropathic pain.  Meloxicam, in combination with [bupivacaine], is indicated for postsurgical analgesia in adult patients for up to 72 hours following foot and ankle, small-to-medium open abdominal, and lower extremity total joint arthroplasty surgical procedures.	Anti-Inflammatory Agents, Non-Steroidal	Anti-inflammatory agents that are non-steroidal in nature. In addition to anti-inflammatory actions, they have analgesic, antipyretic, and platelet-inhibitory actions. They act by blocking the synthesis of prostaglandins by inhibiting cyclooxygenase, which converts arachidonic acid to cyclic endoperoxides, precursors of prostaglandins. Inhibition of prostaglandin synthesis accounts for their analgesic, antipyretic, and platelet-inhibitory actions; other mechanisms may contribute to their anti-inflammatory effects. (See all compounds classified as Anti-Inflammatory Agents, Non-Steroidal.)	H301 (97.39%): Toxic if swallowed [Danger Acute toxicity, oral]; H360 (51.3%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H412 (57.39%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H372: Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
19982-08-2	Memantine	6/16/14	Forest Labs	Autism & Autism Spectrum Disorder (ASD)		https://pubchem.ncbi.nlm.nih.gov/compound/4054	W8O17SJF3T	Memantine is used to manage moderate to severe Alzheimer's dementia.   A more recent systemic review and meta-analysis indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia.	Dopamine Agents	Any drugs that are used for their effects on dopamine receptors, on the life cycle of dopamine, or on the survival of dopaminergic neurons. (See all compounds classified as Dopamine Agents.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]
657-24-9	Metformin	3/15/00	Bristol-Myers	Diabetes Mellitus		https://pubchem.ncbi.nlm.nih.gov/compound/4091	9100L32L2N	**Metformin immediate-release formulations**   Metformin is indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients ≥10 years old with type 2 diabetes mellitus.  **Metformin extended-release tablet (XR)**  The extended-release formulation of metformin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Safety in children has not been determined to this date.  **Metformin combination products**  Metformin is a component of a variety of combination products with other anti-diabetic agents. It is indicated, along with diet and exercise, to improve glycemic control in adult patients with type 2 diabetes mellitus in combination with DPP-4 inhibitors ([sitagliptin], [linagliptin], [alogliptin], or [saxagliptin]), in combination with SGLT2 inhibitors ([canagliflozin], [empagliflozin], [ertugliflozin], or [dapagliflozin]), or in combination with [pioglitazone].	Hypoglycemic Agents	Substances which lower blood glucose levels. (See all compounds classified as Hypoglycemic Agents.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H302: Harmful if swallowed [Warning Acute toxicity, oral]; H315: Causes skin irritation [Warning Skin corrosion/irritation]; H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]
113-45-1	Methylphenidate	12/4/03	McNeil	ADHD		https://pubchem.ncbi.nlm.nih.gov/compound/4158	207ZZ9QZ49	Methylphenidate is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years of age and older and for the treatment of narcolepsy.	Dopamine Uptake Inhibitors	Drugs that block the transport of DOPAMINE into axon terminals or into storage vesicles within terminals. Most of the ADRENERGIC UPTAKE INHIBITORS also inhibit dopamine uptake. (See all compounds classified as Dopamine Uptake Inhibitors.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H341 (100%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H302: Harmful if swallowed [Warning Acute toxicity, oral]; H334: May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization, respiratory]
113-45-1	Methylphenidate	3/15/19	Rhodes	ADHD		https://pubchem.ncbi.nlm.nih.gov/compound/4158	207ZZ9QZ49	Methylphenidate is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years of age and older and for the treatment of narcolepsy.	Dopamine Uptake Inhibitors	Drugs that block the transport of DOPAMINE into axon terminals or into storage vesicles within terminals. Most of the ADRENERGIC UPTAKE INHIBITORS also inhibit dopamine uptake. (See all compounds classified as Dopamine Uptake Inhibitors.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H341 (100%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H302: Harmful if swallowed [Warning Acute toxicity, oral]; H334: May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization, respiratory]
51384-51-1	Metoprolol 	7/27/06	AstraZeneca	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/4171	GEB06NHM23	Metoprolol is indicated for the treatment of angina, heart failure, myocardial infarction, atrial fibrillation, atrial flutter and hypertension.  Some off-label uses of metoprolol include supraventricular tachycardia and thyroid storm.  All the indications of metoprolol are part of cardiovascular diseases. These conditions correspond to a number of diseases that involve the function of the heart and blood vessels. The underlying causes of these conditions are variable and can be due to genetic disposition, lifestyle decisions such as smoking, obesity, diet, and lack of exercise, and comorbidity with other conditions such as diabetes. The cardiovascular diseases are the leading cause of death on a global scale.	Anti-Arrhythmia Agents	Agents used for the treatment or prevention of cardiac arrhythmias. They may affect the polarization-repolarization phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibers. Anti-arrhythmia agents are often classed into four main groups according to their mechanism of action: sodium channel blockade, beta-adrenergic blockade, repolarization prolongation, or calcium channel blockade. (See all compounds classified as Anti-Arrhythmia Agents.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H228 (50%): Flammable solid [Danger Flammable solids]; H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H332 (50%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H361 (50%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
235114-32-6	Micafungin	11/14/19	Astellas	Serious Candida infections		https://pubchem.ncbi.nlm.nih.gov/compound/477468	R10H71BSWG	Indicated for the treatment of candidemia, acute disseminated candidiasis, and certain other invasive Candida infections, as well as esophageal candidiasis, and prophylaxis of Candida infections in patients undergoing hematopoietic stem cell transplantation. Micafungin is also used as an alternative for the treatment of oropharyngeal candidiases and has been used with some success as primary or salvage therapy, alone or in combination with other antifungals, for the treatment of invasive aspergillosis.  Indicated for the prophylaxis of Candida infections in patients undergoing hematopoietic stem cell transplantation.	Antifungal Agents	Substances that destroy fungi by suppressing their ability to grow or reproduce. They differ from FUNGICIDES, INDUSTRIAL because they defend against fungi present in human or animal tissues. (See all compounds classified as Antifungal Agents.)	H315 (98.11%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (98.11%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H412 (98.11%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
